srcStateName,Year,Crime head IPC ( Indian Penal Code ) Category,Crime head IPC ( Indian Penal Code ) Sub-category,Incidence of IPC ( Indian Penal Code ) crimes,Victims of IPC ( Indian Penal Code ) crimes,IPC ( Indian Penal Code ) Crime Rate
A&N Islands,2018,Miscellaneous IPC Crimes,"Arson (Sec.435, 436 & 438 IPC)",4,4,1
A&N Islands,2018,Miscellaneous IPC Crimes,Cheating by Impersonation (Sec.419 IPC),0,0,0
A&N Islands,2018,Miscellaneous IPC Crimes,Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),0,0,0
A&N Islands,2018,Miscellaneous IPC Crimes,Criminal Intimidation (Sec.506 r/w Other IPC Crimes),2,2,0.5
A&N Islands,2018,Miscellaneous IPC Crimes,Criminal Trespass (Sec.447 to 452 IPC),10,10,2.5
A&N Islands,2018,Miscellaneous IPC Crimes,Cruelty by Husband or his Relatives (Sec.498-A IPC),4,4,2.10526315789474
A&N Islands,2018,Miscellaneous IPC Crimes,Disobedience to order duly promulgated by Public Servant (Sec.188),1,1,0.3
A&N Islands,2018,Miscellaneous IPC Crimes,Harbouring an Offender (Sec.212/216/216A IPC),0,0,0
A&N Islands,2018,Miscellaneous IPC Crimes,Insult to the Modesty of Women (Sec.509 IPC),4,4,2.10526315789474
A&N Islands,2018,Miscellaneous IPC Crimes,Miscellaneous IPC Crimes(Total),263,340,66.4
A&N Islands,2018,Miscellaneous IPC Crimes,Obscene Acts and Songs at Public Places (Sec.294),0,0,0
A&N Islands,2018,Miscellaneous IPC Crimes,Obstruction on Public way (Sec.283 IPC),0,0,0
A&N Islands,2018,Miscellaneous IPC Crimes,Offences related to Mischief (Sec.428 to 433),1,1,0.3
A&N Islands,2018,Miscellaneous IPC Crimes,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),0,0,0
A&N Islands,2018,Miscellaneous IPC Crimes,Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),0,0,0
A&N Islands,2018,Miscellaneous IPC Crimes,Offences relating to Religion (Sec.295 to 297),1,1,0.3
A&N Islands,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |A) Rash Driving on Public Way (Sec.279 or Sec.279 r/w 336/Other IPC),5,5,1.3
A&N Islands,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |B) Causing Hurt by Rash/Negligent Driving on Public Way (Sec.279 r/w 337 IPC),175,233,44.2
A&N Islands,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |Rash Driving on Public way (Total),236,313,59.6
A&N Islands,2018,Miscellaneous IPC Crimes,Rash Driving on Public way |C) Causing Grievous Hurt by Rash/Negligent Driving on Public way(Sec.279 r/w 338 IPC),56,75,14.1
A&N Islands,2018,Miscellaneous IPC Crimes,Sale of obscene Books/Objects (Sec.292 & 293),0,0,0
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Counterfeiting |A) Counterfeit Coin (Sec.231-235,237,238-240 & 242-254 IPC)",0,0,0
A&N Islands,2018,Offences Relating to Documents & Property Marks,Counterfeiting |B) Counterfeiting Government Stamp (Sec.255 to 260 IPC),0,0,0
A&N Islands,2018,Offences Relating to Documents & Property Marks,Counterfeiting |C) Counterfeiting of Seal or Mark (Sec.472/473 IPC),0,0,0
A&N Islands,2018,Offences Relating to Documents & Property Marks,Counterfeiting |Counterfeiting (Total),0,0,0
A&N Islands,2018,Offences Relating to Documents & Property Marks,Counterfeiting |D) Counterfeit Currency & Bank notes (Sec.489-A to 489-E IPC),0,0,0
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud | Cheating (Sec.420 IPC)",17,17,4.3
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud | Forgery",2,2,0.5
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Forgery, Cheating & Fraud (Total)",32,32,8.1
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |Fraud (Sec.420 r/w Sec.465,468-471 IPC/IT Act)",13,13,3.3
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |a) Bank",2,2,0.5
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |b) ATMs",4,4,1
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |c) Credit Card/Debit Card",0,0,0
A&N Islands,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud |Fraud |d) Other Frauds",7,7,1.8
A&N Islands,2018,Offences Relating to Documents & Property Marks,Offences Relating to Documents & Property Marks (Total),32,32,8.1
A&N Islands,2018,Offences affecting the Human Body,Abetment of Suicide (Sec.305/306 IPC),3,4,0.8
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women (Sec.354 IPC),20,20,10.5263157894737
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC) (Total),35,36,18.4210526315789
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),1,1,0.526315789473684
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |Sexual Harassment (Sec.354A IPC) (Total),12,13,6.31578947368421
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |a) at Work or Office Premises,3,4,1.57894736842105
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |b) In Public Transport System,0,0,0
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |c) In Shelter Homes for women and Children,0,0,0
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |d) Other Places,9,9,4.73684210526316
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Stalking (Sec.354D IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Voyeurism (Sec.354C IPC),2,2,1.05263157894737
A&N Islands,2018,Offences affecting the Human Body,Attempt to Commit Murder (Sec.307 IPC),8,8,2
A&N Islands,2018,Offences affecting the Human Body,Attempt to Commit Rape (Sec.376/511 IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Attempt to Commit Suicide (Sec.309 IPC),2,0,0.5
A&N Islands,2018,Offences affecting the Human Body,Attempt to commit Culpable Homicide (Sec.308 IPC),4,6,1
A&N Islands,2018,Offences affecting the Human Body,Buying of Minors for Prostitution (Sec.373 IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Causing Death by Negligence (Sec.304-A IPC) (Total),30,37,7.6
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Medical Negligence,0,0,0
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence of Civic Bodies,0,0,0
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Rail Accidents,0,0,0
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |A) Hit and Run,4,4,1
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |B) Other Accidents (other than Hit and Run),14,20,3.5
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |Deaths due to Negligence relating to Road Accidents (Total),18,24,4.5
A&N Islands,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to other Negligence,12,13,3
A&N Islands,2018,Offences affecting the Human Body,Culpable Homicide not amounting to Murder (Sec.304 IPC),3,41,0.8
A&N Islands,2018,Offences affecting the Human Body,Dowry Deaths (Sec.304-B IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Exploitation of Trafficked Person 370A IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Human Trafficking (U/S 370),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |A) Voluntarily causing grievous hurt (Sec.325 IPC),23,25,5.8
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |B) Voluntarily causing grievous hurt by dangerous weapons or means (Sec.326 IPC),5,5,1.3
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |C) Acid Attack (Sec.326A IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |D) Attempt to Acid Attack (Sec.326B IPC),0,0,0
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |E) Voluntarily Causing Grievous hurt/Force to deter public servant from his duty (Sec.333/353 IPC),1,1,0.3
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |F) Causing Grievous Hurt by act endangering life/safety of others (Sec.338 IPC),5,5,1.3
A&N Islands,2018,Offences affecting the Human Body,"Hurt |Grievous Hurt |G) Other Grievous Hurt (Sec.329, 331 & 335)",0,0,0
A&N Islands,2018,Offences affecting the Human Body,Hurt |Grievous Hurt |Grievous Hurt (Total),34,36,8.6
A&N Islands,2018,Offences affecting the Human Body,Hurt |Hurt (Simple +Grievous),83,88,21
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |A) Voluntarily Causing Simple Hurt (Sec.323 r/w 341/342),13,15,3.3
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |B) Voluntarily causing hurt by Dangerous weapons or means (Sec.324 IPC),13,14,3.3
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |C) Voluntarily Causing hurt/Force to deter public servant from his duty (Sec.332/353 IPC),14,14,3.5
A&N Islands,2018,Offences affecting the Human Body,Hurt |Simple Hurt |D) Causing Hurt by act endangering life/safety of others (Sec.336/337),9,9,2.3
