Rowid,Country,State lgd code,State,Year,Crime head ipc ( indian penal code ) category,Crime head ipc ( indian penal code ) sub-category,Incidence of ipc ( indian penal code ) crimes,Victims of ipc ( indian penal code ) crimes,Ipc ( indian penal code ) crime rate
1,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,"Arson (Sec.435, 436 & 438 IPC)",187.80079580254107587904,194.64769981617538593713,1.4
2,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Cheating by Impersonation (Sec.419 IPC),0.00000000000000000000,0.00000000000000000000,0
3,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),12.71567888246371867931,12.71567888246371867931,0.1
4,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Criminal Intimidation (Sec.506 r/w Other IPC Crimes),42.05955322661076178541,46.95019895063526896976,0.3
5,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Criminal Trespass (Sec.447 to 452 IPC),1106.26406277434352509997,1146.36735771134448401164,8.4
6,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Cruelty by Husband or his Relatives (Sec.498-A IPC),317.89197206159296698275,329.62952179925178422519,5.11006289308176
7,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Disobedience to order duly promulgated by Public Servant (Sec.188),460.69882720310857676577,464.61134378232818251325,3.5
8,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Harbouring an Offender (Sec.212/216/216A IPC),0.97812914480490143687,0.97812914480490143687,0
9,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Insult to the Modesty of Women (Sec.509 IPC),24.45322862012253592175,24.45322862012253592175,0.393081761006289
10,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Miscellaneous IPC Crimes(Total),7412.26265933154308860086,9164.09195767712156203503,56.4
11,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Obscene Acts and Songs at Public Places (Sec.294),60.64400697790388908594,64.55652355712349483342,0.5
12,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Obstruction on Public way (Sec.283 IPC),0.97812914480490143687,0.97812914480490143687,0
13,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Offences related to Mischief (Sec.428 to 433),5.86877486882940862122,5.86877486882940862122,0
14,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),0.00000000000000000000,0.00000000000000000000,0
15,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),0.00000000000000000000,0.00000000000000000000,0
16,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Offences relating to Religion (Sec.295 to 297),5.86877486882940862122,5.86877486882940862122,0
17,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Rash Driving on Public way |C) Causing Grievous Hurt by Rash/Negligent Driving on Public way(Sec.279 r/w 338 IPC),217.14467014668811898514,430.37682371415663222280,1.7
18,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |A) Rash Driving on Public Way (Sec.279 or Sec.279 r/w 336/Other IPC),577.09619543489184775330,663.17156017772317419786,4.4
19,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |B) Causing Hurt by Rash/Negligent Driving on Public Way (Sec.279 r/w 337 IPC),4391.79986017400745154630,5772.91821263852828040674,33.4
20,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |Rash Driving on Public way (Total),5186.04072575558741828474,6866.46659653040808682740,39.5
21,India,1,Jammu And Kashmir,2018,Miscellaneous IPC Crimes,Sale of obscene Books/Objects (Sec.292 & 293),0.00000000000000000000,0.00000000000000000000,0
22,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Abetment of Suicide (Sec.305/306 IPC),35.21264921297645172732,38.14703664739115603793,0.3
23,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women (Sec.354 IPC),1466.21558806254725386813,1478.93126694501097254744,23.5691823899371
24,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC) (Total),1562.07224425342759468139,1575.76605228069621479757,25.1100628930818
25,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),39.12516579219605747480,39.12516579219605747480,0.628930817610063
26,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |a) at Work or Office Premises,0.97812914480490143687,0.97812914480490143687,0.0157232704402516
27,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |b) In Public Transport System,0.00000000000000000000,0.00000000000000000000,0
28,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |c) In Shelter Homes for women and Children,0.00000000000000000000,0.00000000000000000000,0
29,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |d) Other Places ,31.30013263375684597984,32.27826177856174741671,0.50314465408805
30,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Sexual Harassment |Sexual Harassment (Sec.354A IPC) (Total),32.27826177856174741671,33.25639092336664885358,0.518867924528302
31,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Stalking (Sec.354D IPC),23.47509947531763448488,23.47509947531763448488,0.377358490566038
32,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Assault on Women with Intent to Outrage her Modesty |Voyeurism (Sec.354C IPC),0.97812914480490143687,0.97812914480490143687,0.0157232704402516
33,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Attempt to commit Culpable Homicide (Sec.308 IPC),0.00000000000000000000,0.00000000000000000000,0
34,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Attempt to Commit Murder (Sec.307 IPC),428.42056542454682934906,475.37076437518209831882,3.3
35,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Attempt to Commit Rape (Sec.376/511 IPC),22.49697033051273304801,22.49697033051273304801,0.361635220125786
36,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Attempt to Commit Suicide (Sec.309 IPC),357.01713785378902445755,0.00000000000000000000,2.7
37,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Buying of Minors for Prostitution (Sec.373 IPC),0.00000000000000000000,0.00000000000000000000,0
38,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Causing Death by Negligence |Causing Death by Negligence (Sec.304-A IPC) (Total),730.66247116926137334189,968.34785335685242250130,5.6
39,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Medical Negligence,1.95625828960980287374,1.95625828960980287374,0
40,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence of Civic Bodies,5.86877486882940862122,5.86877486882940862122,0
41,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Rail Accidents,0.00000000000000000000,0.00000000000000000000,0
42,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |A) Hit and Run,140.85059685190580690928,155.52253402397932846233,1.1
43,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |B) Other Accidents (other than Hit and Run),545.79606280113500177346,768.80950781665252937982,4.2
44,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to Negligence relating to Road Accidents |Deaths due to Negligence relating to Road Accidents (Total),686.64665965304080868274,924.33204184063185784215,5.2
45,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Causing Death by Negligence |Deaths due to other Negligence,36.19077835778135316419,36.19077835778135316419,0.3
46,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Culpable Homicide not amounting to Murder (Sec.304 IPC),23.47509947531763448488,26.40948690973233879549,0.2
47,India,1,Jammu And Kashmir,2018,Offences affecting the Human Body,Dowry Deaths (Sec.304-B IPC),7.82503315843921149496,7.82503315843921149496,0.125786163522013
